SYMBOL,LDCP,OPEN,HIGH,LOW,CLOSE,CHANGE,CHANGE (%),VOLUME
KEL,7.7,7.74,7.76,7.48,7.57,-0.13,-0.0169,36128312
PACE,12.09,12.1,13.1,12.02,12.59,0.5,0.0414,21652380
BNL,8.92,9.07,9.82,8.99,9.26,0.34,0.0381,19495401
AMTEX,4.61,4.85,5.35,4.76,4.97,0.36,0.0781,18062827
DFSM,12.32,12.96,13.55,11.5,13.55,1.23,0.0998,13106354
TPL,8.97,8.9,9.97,8.9,9.97,1,0.1115,12923209
BAFL,63.99,64.49,64.78,60.5,61.27,-2.72,-0.0425,12253962
PIBTL,16.4,16.5,16.5,15.83,16.04,-0.36,-0.022,11101183
NCPL,74.13,73.4,73.8,71.06,71.95,-2.18,-0.0294,9265125
TBL,9.69,9.68,9.96,9.57,9.77,0.08,0.0083,9128450
KOIL,50.32,49.5,55.35,48.61,55.35,5.03,0.1,8886782
ASL,11.61,11.7,12.05,11.65,11.97,0.36,0.031,8834987
TELE,8.52,8.49,8.8,8.36,8.64,0.12,0.0141,7881486
PAEL,42.64,42.3,42.3,41.21,41.9,-0.74,-0.0173,7266056
SSGC,28.72,28.74,28.74,27.01,27.28,-1.44,-0.0501,7165395
PRL,38.2,38,38.37,37.14,37.59,-0.61,-0.016,7144742
DSL,6.46,6.55,7.4,6.54,7.14,0.68,0.1053,7078900
NPL,81.28,81.5,81.5,77.27,78.02,-3.26,-0.0401,6729204
MDTL,5.67,5.8,6.04,5.66,5.89,0.22,0.0388,6350479
FCSC,5.25,5.2,5.75,5.2,5.44,0.19,0.0362,6243815
CPHL,83.71,82.8,83,79.11,79.76,-3.95,-0.0472,5847545
HIRAT,4.5,4.55,4.95,4.5,4.73,0.23,0.0511,4953511
FCCL,50.12,49.98,49.98,48.45,48.78,-1.34,-0.0267,4766955
HUMNL,11,11,11.24,10.81,10.92,-0.08,-0.0073,4636351
FFL,17.65,17.65,18.05,17.45,17.56,-0.09,-0.0051,4360818
MLCF,88.89,88,88,85.63,86.52,-2.37,-0.0267,4308587
NBP,208.62,208.5,211,205.05,205.91,-2.71,-0.013,4031712
DGKC,187.11,186.26,186.8,179.25,180.91,-6.2,-0.0331,3688127
UBL,417.2,419,422,400,410.46,-6.74,-0.0162,3574325
TRG,57.64,58,58,56.51,57.3,-0.34,-0.0059,3515665
ENGROH,283.77,282.51,286.4,278.7,280.72,-3.05,-0.0107,3446636
HUBC,228,227.88,229.5,224.21,226.43,-1.57,-0.0069,3327782
DSIL,8.32,8.32,9.09,8.1,8.7,0.38,0.0457,2880608
PPL,234.04,233.4,233.5,226.51,228.23,-5.81,-0.0248,2782143
TPLT,10.83,10.99,11.58,10.12,11.35,0.52,0.048,2772991
KML,8.56,8.4,9.4,8.4,8.81,0.25,0.0292,2743404
GDL,21.22,21.26,22.7,21.25,22.28,1.06,0.05,2669817
OGDC,321.11,320,321.2,315.84,319.34,-1.77,-0.0055,2642398
PSO,391.08,389.5,393.89,386.79,390.11,-0.97,-0.0025,2607401
PASL,2.47,2.48,2.63,2.41,2.61,0.14,0.0567,2519951
FDPL,4.87,4.98,5.23,4.9,5.09,0.22,0.0452,2398565
AHCL,14.67,14.6,14.68,14.35,14.42,-0.25,-0.017,2326086
EPCL,34.99,35.25,35.65,33.5,33.75,-1.24,-0.0354,2217653
GCWL,17.64,17.66,17.69,15.91,16.95,-0.69,-0.0391,2098028
CTM,7.21,7.3,7.64,7.12,7.2,-0.01,-0.0014,2096180
GGL,18.42,18.4,18.69,18.12,18.56,0.14,0.0076,2074746
OBOY,9.75,9.78,10.22,9.55,9.72,-0.03,-0.0031,2051474
DCL,9.19,9.34,9.35,8.8,8.86,-0.33,-0.0359,2050242
CHBL,8.54,8.89,9.17,8.55,8.84,0.3,0.0351,2037518
GCIL,30.7,30.5,30.9,29.8,30.07,-0.63,-0.0205,2036148
LSEVL,8.37,8.39,9,8.39,8.86,0.49,0.0585,1981974
POWER,19.35,19.35,19.39,18.72,18.88,-0.47,-0.0243,1974044
ITTEFAQ,8.26,8.36,8.58,8.12,8.25,-0.01,-0.0012,1962669
SYS,152.46,152,152.95,149.8,150.05,-2.41,-0.0158,1961324
SBL,9.93,9.97,10.6,9.88,10.24,0.31,0.0312,1951761
FABL,91.24,91.08,92.5,89.52,89.92,-1.32,-0.0145,1943221
TREET,25.37,25.35,25.6,24.91,25.19,-0.18,-0.0071,1904258
ADMM,76.19,79.98,83.81,79.1,83.81,7.62,0.1,1849445
PTC,53.74,53.9,54.35,52.88,53.04,-0.7,-0.013,1791661
ASTL,16.39,16.39,16.7,15.75,15.83,-0.56,-0.0342,1737579
EFERT,204.53,204.5,204.99,199.01,199.93,-4.6,-0.0225,1696237
PIAHCLA,21.29,21.35,21.4,21.02,21.3,0.01,0.0005,1645506
SGPL,40.02,40.5,44.02,40.5,44.02,4,0.1,1641842
AKBL,95.6,96,97,92.07,95.63,0.03,0.0003,1636444
SKRS,30.6,31.7,33,29.55,31.07,0.47,0.0154,1621680
TRSM,14.52,14.97,15.91,14.02,15.67,1.15,0.0792,1610729
HBL,301.45,300,302.9,295.5,298.44,-3.01,-0.01,1560192
NRL,382.57,379.5,387,372.55,377.45,-5.12,-0.0134,1549029
PREMA,34.12,34.3,34.3,32.16,32.66,-1.46,-0.0428,1520889
SNGP,104.17,103.06,103.95,100,100.61,-3.56,-0.0342,1471434
ZAL,59.82,58,60.5,56.56,57.03,-2.79,-0.0466,1447575
NML,157.09,157,157.9,152.5,154.25,-2.84,-0.0181,1389795
STL,61.02,61.63,62.49,60.26,60.75,-0.27,-0.0044,1385139
WAVESAPP,8.34,8.34,8.57,8.33,8.36,0.02,0.0024,1360936
FCL,22.26,22.35,22.51,22.05,22.18,-0.08,-0.0036,1269509
LOTCHEM,27.75,27.7,28,27.52,27.82,0.07,0.0025,1249375
DFML,17.6,17.51,18.1,17.41,17.76,0.16,0.0091,1201425
SEARL,93.53,93.1,93.18,90.05,92.86,-0.67,-0.0072,1173748
SYM,10.89,10.84,10.85,10.6,10.67,-0.22,-0.0202,1156254
WAVES,10.47,10.5,10.54,10.1,10.42,-0.05,-0.0048,1119989
WASL,5.12,5.25,5.45,5.08,5.36,0.24,0.0469,1075096
JVDC,134.81,134.81,138.1,133.06,136.63,1.82,0.0135,1066711
MUGHAL,78.1,77.79,78,75.01,75.71,-2.39,-0.0306,1055924
LUCK,431.12,430,433.99,420.55,425.8,-5.32,-0.0123,1051797
ANL,10.15,10.2,10.4,10.08,10.23,0.08,0.0079,1030629
FNEL,1.38,1.39,1.74,1.37,1.7,0.32,0.2319,286823348
HASCOL,19.39,19.49,20.93,19.4,20.51,1.12,0.0578,77776966
KOSM,6.19,6.26,6.72,6.01,6.43,0.24,0.0388,69436828
YOUW,6.73,6.7,7.73,6.31,7.73,1,0.1486,58862399
CLOV,8.89,9.22,9.43,8.11,8.66,-0.23,-0.0259,50463724
CNERGY,8.23,8.25,8.29,7.94,7.99,-0.24,-0.0292,48756066
TSBL,2.08,2.08,2.17,2.02,2.09,0.01,0.0048,46935693
UNITY,13.53,13.78,13.78,12.65,12.83,-0.7,-0.0517,39943809
BECO,5.62,5.75,6.15,5.75,5.97,0.35,0.0623,38993374
BOP,35.93,35.7,35.8,33.8,34.22,-1.71,-0.0476,35136344
WTL,1.38,1.38,1.43,1.37,1.42,0.04,0.029,33668378
TPLP,8.58,8.5,9.29,8.5,9.06,0.48,0.0559,26592399
LOADS,13.17,13.3,13.98,13.25,13.45,0.28,0.0213,25052493
AGHA,7.77,7.98,8.37,7.8,8.29,0.52,0.0669,24954763
CSIL,6.45,6.45,7.33,6.21,7.14,0.69,0.107,22037593
